TransactionID,TransactionAmount,TransactionDate,MerchantCategory,TransactionLocation,UserAge,UserAccountAge,IsFraud,CardType,TransactionMethod
1117,46.65,2024-02-16 12:00:00,Online,Houston,56,34,1,Credit,Online
1369,90.66,2024-02-27 00:00:00,Clothing,Phoenix,54,36,1,Credit,Online
423,46.51,2024-01-18 14:00:00,Online,Phoenix,19,50,0,Credit,Online
414,287.15,2024-01-18 05:00:00,Grocery,Chicago,37,76,0,Debit,Online
452,279.64,2024-01-19 19:00:00,Electronics,Los Angeles,37,21,0,Credit,In-Person
862,227.19,2024-02-05 21:00:00,Clothing,Chicago,62,52,1,Credit,In-Person
1064,209.47,2024-02-14 07:00:00,Electronics,Phoenix,35,25,1,Debit,In-Person
742,151.39,2024-01-31 21:00:00,Electronics,Los Angeles,22,59,0,Credit,Online
1273,390.15,2024-02-23 00:00:00,Online,New York,18,72,1,Debit,In-Person
260,49.49,2024-01-11 19:00:00,Clothing,Houston,43,108,0,Credit,In-Person
889,50.62,2024-02-07 00:00:00,Gas,Phoenix,45,21,1,Credit,In-Person
1433,244.93,2024-02-29 16:00:00,Electronics,Houston,47,47,1,Credit,Online
713,236.32,2024-01-30 16:00:00,Electronics,Phoenix,48,28,0,Credit,Online
1383,484.74,2024-02-27 14:00:00,Online,Phoenix,35,102,1,Credit,In-Person
71,386.35,2024-01-03 22:00:00,Online,New York,28,21,0,Credit,Online
1269,300.41,2024-02-22 20:00:00,Grocery,Phoenix,47,89,1,Debit,In-Person
1492,187.25,2024-03-03 03:00:00,Grocery,Los Angeles,54,80,1,Credit,Online
608,182.77,2024-01-26 07:00:00,Online,Chicago,55,37,0,Debit,Online
434,51.46,2024-01-19 01:00:00,Gas,Los Angeles,28,38,0,Debit,Online
52,387.79,2024-01-03 03:00:00,Electronics,Phoenix,62,32,0,Debit,In-Person
1200,65.91,2024-02-19 23:00:00,Online,Phoenix,24,67,1,Debit,In-Person
1129,186.97,2024-02-17 00:00:00,Grocery,Chicago,36,86,1,Credit,Online
1191,34.61,2024-02-19 14:00:00,Grocery,Los Angeles,38,66,1,Debit,In-Person
1250,308.71,2024-02-22 01:00:00,Grocery,Phoenix,67,98,1,Credit,In-Person
1420,467.0,2024-02-29 03:00:00,Electronics,Houston,52,90,1,Debit,In-Person
433,309.49,2024-01-19 00:00:00,Grocery,New York,49,38,0,Debit,In-Person
1453,434.58,2024-03-01 12:00:00,Gas,Chicago,46,97,1,Credit,Online
1471,283.94,2024-03-02 06:00:00,Electronics,Chicago,34,93,1,Credit,Online
1235,326.18,2024-02-21 10:00:00,Electronics,New York,69,34,1,Debit,Online
1282,351.53,2024-02-23 09:00:00,Grocery,New York,46,103,1,Credit,Online
1086,234.23,2024-02-15 05:00:00,Grocery,Chicago,53,106,1,Credit,Online
611,20.62,2024-01-26 10:00:00,Online,Los Angeles,50,85,0,Debit,Online
1285,163.9,2024-02-23 12:00:00,Grocery,New York,55,118,1,Debit,Online
1042,395.57,2024-02-13 09:00:00,Gas,Houston,35,95,1,Credit,Online
221,329.15,2024-01-10 04:00:00,Gas,Los Angeles,27,61,0,Credit,In-Person
340,49.82,2024-01-15 03:00:00,Clothing,New York,54,15,0,Credit,Online
424,247.72,2024-01-18 15:00:00,Electronics,Chicago,62,94,0,Credit,Online
429,176.11,2024-01-18 20:00:00,Online,New York,18,7,0,Credit,In-Person
1106,87.77,2024-02-16 01:00:00,Electronics,New York,48,115,1,Debit,Online
77,385.86,2024-01-04 04:00:00,Online,Los Angeles,34,63,0,Debit,Online
1392,37.67,2024-02-27 23:00:00,Online,New York,66,74,1,Debit,Online
440,41.59,2024-01-19 07:00:00,Clothing,Houston,43,74,0,Debit,Online
1337,100.57,2024-02-25 16:00:00,Gas,Los Angeles,55,53,1,Credit,Online
865,200.98,2024-02-06 00:00:00,Grocery,Los Angeles,29,38,1,Credit,In-Person
1081,393.39,2024-02-15 00:00:00,Online,Los Angeles,28,1,1,Debit,In-Person
355,36.21,2024-01-15 18:00:00,Grocery,Chicago,42,119,0,Credit,In-Person
366,193.67,2024-01-16 05:00:00,Clothing,Houston,62,41,0,Credit,In-Person
310,136.15,2024-01-13 21:00:00,Gas,Phoenix,43,12,0,Credit,Online
737,196.83,2024-01-31 16:00:00,Grocery,Phoenix,66,38,0,Debit,Online
999,475.17,2024-02-11 14:00:00,Grocery,Los Angeles,18,23,1,Debit,Online
622,105.47,2024-01-26 21:00:00,Grocery,New York,24,94,0,Credit,Online
544,336.18,2024-01-23 15:00:00,Online,Phoenix,63,5,0,Debit,Online
